,DATE,AFNTY_BRAND,CANC_STATUS,SALE_STATUS,MARGIN,VEHICLE_PREMIUM,SALES_COUNT,QUOTE_COUNT
0,2022-02-01,GOLD,Active,QUOTE,1367542.9081129672,5844065.84,,7358.0
1,2022-02-01,GOLD,Cancelled,SOLD,31510.2155140461,132375.78,153.0,153.0
2,2022-02-02,GOLD,Active,QUOTE,1397555.2718574344,5999931.02,,7455.0
3,2022-02-02,GOLD,Cancelled,SOLD,39450.2484931392,162945.85,189.0,189.0
4,2022-02-03,GOLD,Active,QUOTE,1211962.1856654703,5226066.61,,6685.0
5,2022-02-03,GOLD,Cancelled,SOLD,36298.0749188652,149571.66,171.0,171.0
6,2022-02-04,GOLD,Active,QUOTE,1125919.0139291373,4920462.58,,6088.0
7,2022-02-04,GOLD,Cancelled,SOLD,35709.8687869763,155734.78,174.0,174.0
8,2022-02-05,GOLD,Active,QUOTE,940879.823661788,4112912.25,,5076.0
9,2022-02-05,GOLD,Cancelled,SOLD,22924.9277802986,94974.34,110.0,110.0
10,2022-02-06,GOLD,Active,QUOTE,960396.864936026,4192959.04,,5346.0
11,2022-02-06,GOLD,Cancelled,SOLD,25925.0710967227,107755.26,131.0,131.0
12,2022-02-07,GOLD,Active,QUOTE,1387147.3264767316,6080895.18,,7559.0
13,2022-02-07,GOLD,Cancelled,SOLD,47784.5443076077,197984.84,225.0,225.0
14,2022-02-08,GOLD,Active,QUOTE,1417706.0663595635,6067555.23,,7626.0
15,2022-02-08,GOLD,Cancelled,SOLD,40707.5507897575,174712.53,198.0,198.0
16,2022-02-09,GOLD,Active,QUOTE,1363248.6115029636,5904831.5,,7212.0
17,2022-02-09,GOLD,Cancelled,SOLD,40853.2523536602,172459.01,195.0,195.0
18,2022-02-10,GOLD,Active,QUOTE,1180434.7234672054,5162889.85,,6492.0
19,2022-02-10,GOLD,Cancelled,SOLD,40987.1024155309,172804.89,192.0,192.0
20,2022-02-11,GOLD,Active,QUOTE,1079126.691611599,4703315.91,,5851.0
21,2022-02-11,GOLD,Cancelled,SOLD,35948.9998583788,157754.05,167.0,167.0
22,2022-02-12,GOLD,Active,QUOTE,915526.6819365077,3994008.68,,5122.0
23,2022-02-12,GOLD,Cancelled,SOLD,22015.2440109852,90673.47,111.0,111.0
24,2022-02-13,GOLD,Active,QUOTE,907178.3179901935,3998711.97,,5091.0
25,2022-02-13,GOLD,Cancelled,SOLD,25431.8113813036,109161.89,121.0,121.0
26,2022-02-14,GOLD,Active,QUOTE,1242188.1170424095,5378586.52,,6758.0
27,2022-02-14,GOLD,Cancelled,SOLD,39990.3154090697,166384.29,190.0,190.0
28,2022-02-15,GOLD,Active,QUOTE,1402600.2050192668,6007135.66,,7504.0
29,2022-02-15,GOLD,Cancelled,SOLD,39826.2947761146,169975.55,191.0,191.0
30,2022-02-16,GOLD,Active,QUOTE,1379363.5963494333,5997925.31,,7413.0
31,2022-02-16,GOLD,Cancelled,SOLD,41897.9386135857,174882.26,196.0,196.0
32,2022-02-17,GOLD,Active,QUOTE,1262333.0405484082,5566023.49,,6839.0
33,2022-02-17,GOLD,Cancelled,SOLD,38782.350063317,169500.2,184.0,184.0
34,2022-02-18,GOLD,Active,QUOTE,1020545.949211601,4532507.16,,5706.0
35,2022-02-18,GOLD,Cancelled,SOLD,28850.1143815149,117512.93,145.0,145.0
36,2022-02-19,GOLD,Active,QUOTE,860977.381161411,3791382.6,,4815.0
37,2022-02-19,GOLD,Cancelled,SOLD,20581.4237571278,87822.21,97.0,97.0
38,2022-02-20,GOLD,Active,QUOTE,920407.4670979899,4016915.19,,4830.0
39,2022-02-20,GOLD,Cancelled,SOLD,22465.2292625481,96884.56,108.0,108.0
40,2022-02-21,GOLD,Active,QUOTE,1467764.502229393,6357655.64,,7698.0
41,2022-02-21,GOLD,Cancelled,SOLD,43000.8733861511,183063.53,213.0,213.0
42,2022-02-22,GOLD,Active,QUOTE,1409065.4122621277,6110629.28,,7476.0
43,2022-02-22,GOLD,Cancelled,SOLD,38257.5935963926,168955.47,187.0,187.0
44,2022-02-23,GOLD,Active,QUOTE,1283301.9541086294,5603488.81,,6921.0
45,2022-02-23,GOLD,Cancelled,SOLD,44694.0831254704,191771.62,215.0,215.0
46,2022-02-24,GOLD,Active,QUOTE,1172426.8271018032,5169395.28,,6525.0
47,2022-02-24,GOLD,Cancelled,SOLD,41365.9221745483,176957.54,201.0,201.0
48,2022-02-25,GOLD,Active,QUOTE,1052565.6089618788,4629774.36,,5930.0
49,2022-02-25,GOLD,Cancelled,SOLD,33487.6939308067,149776.02,166.0,166.0
50,2022-02-26,GOLD,Active,QUOTE,907859.723785735,4034214.14,,4985.0
51,2022-02-26,GOLD,Cancelled,SOLD,28945.6635838756,118672.56,139.0,139.0
52,2022-02-27,GOLD,Active,QUOTE,942284.574647151,4144596.73,,5102.0
53,2022-02-27,GOLD,Cancelled,SOLD,23595.6577232987,96582.53,121.0,121.0
54,2022-02-28,GOLD,Active,QUOTE,1300765.2945277917,5762869.85,,7011.0
55,2022-02-28,GOLD,Cancelled,SOLD,40613.5364667665,169930.13,201.0,201.0
56,2022-03-01,GOLD,Active,QUOTE,1292769.7957183905,5698285.77,,6838.0
57,2022-03-01,GOLD,Cancelled,SOLD,51520.7869378197,226983.52,241.0,241.0
58,2022-03-01,OCEA,Active,QUOTE,1226867.1945634494,4584553.3,,4854.0
59,2022-03-01,OCEA,Cancelled,SOLD,1630.5243004029,7935.48,10.0,10.0
60,2022-03-02,GOLD,Active,QUOTE,1275053.945572839,5629884.91,,6914.0
61,2022-03-02,GOLD,Cancelled,SOLD,45138.8935222064,186887.38,216.0,216.0
62,2022-03-02,OCEA,Active,QUOTE,1670626.4212395474,6208950.01,,6809.0
63,2022-03-02,OCEA,Cancelled,SOLD,1989.7553893451,10887.66,12.0,12.0
64,2022-03-03,GOLD,Active,QUOTE,1319693.5687422024,5756096.76,,7124.0
65,2022-03-03,GOLD,Cancelled,SOLD,43667.8745412223,188370.0,222.0,222.0
66,2022-03-03,OCEA,Active,QUOTE,1730218.7933685295,6365937.62,,6978.0
67,2022-03-03,OCEA,Cancelled,SOLD,1704.6896542044,11111.6,10.0,10.0
68,2022-03-04,GOLD,Active,QUOTE,1130576.4799087106,4830926.37,,6056.0
69,2022-03-04,GOLD,Cancelled,SOLD,33711.1803502719,141762.3,156.0,156.0
70,2022-03-04,OCEA,Active,QUOTE,1462830.7826663388,5351201.62,,5972.0
71,2022-03-04,OCEA,Cancelled,SOLD,1915.9482276818,10979.19,13.0,13.0
72,2022-03-05,GOLD,Active,QUOTE,936002.6991727289,3977697.97,,4945.0
73,2022-03-05,GOLD,Cancelled,SOLD,28063.6636901331,119638.3,136.0,136.0
74,2022-03-05,OCEA,Active,QUOTE,1213697.2158032742,4391088.53,,4857.0
75,2022-03-05,OCEA,Cancelled,SOLD,632.4359875024,3026.67,4.0,4.0
76,2022-03-06,GOLD,Active,QUOTE,949455.787176779,4121021.0,,5235.0
