,QUOTE_COUNT,DATE,GOLD_RANKING,AnnualKM_Banding,OCEA_RANKING,SALE_STATUS
0,27,2022-03-20,2,LowKM,9,QUOTE
1,69,2022-03-09,2,LowKM,8,QUOTE
2,12,2022-03-09,5,LowKM,9,QUOTE
3,4,2022-03-09,2,LowKM,11,QUOTE
4,50,2022-03-15,2,LowKM,5,QUOTE
5,1,2022-03-15,10,LowKM,13,QUOTE
6,1,2022-03-15,7,Otherwise,4,QUOTE
7,102,2022-03-10,1,LowKM,4,QUOTE
8,21,2022-03-10,4,LowKM,2,QUOTE
9,2,2022-03-10,4,LowKM,13,QUOTE
10,131,2022-03-24,1,Otherwise,5,QUOTE
11,41,2022-03-24,1,Otherwise,6,QUOTE
12,19,2022-03-24,4,LowKM,11,QUOTE
13,45,2022-03-24,4,Otherwise,7,QUOTE
14,2,2022-03-24,1,Otherwise,8,QUOTE
15,13,2022-03-24,1,LowKM,3,QUOTE
16,1,2022-03-24,4,Otherwise,3,SOLD
17,3,2022-03-11,4,Otherwise,1,QUOTE
18,10,2022-03-11,6,Otherwise,5,QUOTE
19,55,2022-03-16,3,LowKM,9,QUOTE
20,1,2022-03-16,2,LowKM,3,SOLD
21,64,2022-03-27,2,LowKM,8,QUOTE
22,4,2022-03-27,6,LowKM,13,QUOTE
23,8,2022-03-08,6,LowKM,12,QUOTE
24,48,2022-03-08,3,Otherwise,7,QUOTE
25,3,2022-03-08,7,LowKM,14,QUOTE
26,232,2022-03-29,2,Otherwise,5,QUOTE
27,134,2022-03-29,3,Otherwise,6,QUOTE
28,4,2022-03-29,9,LowKM,8,QUOTE
29,2,2022-03-29,9,Otherwise,6,QUOTE
30,3,2022-03-29,8,Otherwise,11,QUOTE
31,69,2022-03-22,2,LowKM,8,QUOTE
32,5,2022-03-22,8,Otherwise,6,QUOTE
33,6,2022-03-22,1,LowKM,10,QUOTE
34,6,2022-03-22,8,LowKM,7,QUOTE
35,16,2022-03-17,3,Otherwise,1,QUOTE
36,17,2022-03-17,4,LowKM,11,QUOTE
37,1,2022-03-17,5,LowKM,14,QUOTE
38,1,2022-03-17,6,LowKM,14,QUOTE
39,33,2022-03-12,3,Otherwise,1,QUOTE
40,9,2022-03-12,4,Otherwise,9,QUOTE
41,13,2022-03-12,5,Otherwise,3,QUOTE
42,1,2022-03-12,9,Otherwise,12,QUOTE
43,1,2022-03-12,11,LowKM,9,QUOTE
44,28,2022-03-14,3,LowKM,10,QUOTE
45,60,2022-03-30,3,LowKM,8,QUOTE
46,37,2022-03-30,2,LowKM,9,QUOTE
47,2,2022-03-30,9,Otherwise,4,QUOTE
48,2,2022-03-30,2,LowKM,11,QUOTE
49,50,2022-03-19,3,LowKM,4,QUOTE
50,2,2022-03-19,5,LowKM,13,QUOTE
51,1,2022-03-19,8,Otherwise,6,QUOTE
52,85,2022-03-26,3,Otherwise,6,QUOTE
53,5,2022-03-26,5,LowKM,8,QUOTE
54,74,2022-03-21,2,LowKM,6,QUOTE
55,1,2022-03-21,5,LowKM,14,QUOTE
56,1,2022-03-21,8,LowKM,4,QUOTE
57,7,2022-03-31,7,LowKM,11,QUOTE
58,21,2022-03-31,5,Otherwise,3,QUOTE
59,1,2022-03-31,7,LowKM,3,QUOTE
60,10,2022-03-25,6,LowKM,10,QUOTE
61,44,2022-03-25,3,Otherwise,7,QUOTE
62,1,2022-03-25,7,LowKM,3,QUOTE
63,12,2022-03-25,5,Otherwise,8,QUOTE
64,8,2022-03-25,7,LowKM,8,QUOTE
65,54,2022-03-13,3,LowKM,4,QUOTE
66,1,2022-03-13,9,LowKM,7,QUOTE
67,137,2022-04-04,1,Otherwise,4,QUOTE
68,20,2022-04-04,5,LowKM,7,QUOTE
69,8,2022-04-04,5,LowKM,11,QUOTE
70,1,2022-04-04,2,Otherwise,8,QUOTE
71,51,2022-03-23,3,LowKM,7,QUOTE
72,19,2022-03-23,2,LowKM,10,QUOTE
73,4,2022-03-23,3,Otherwise,9,QUOTE
74,3,2022-03-23,7,LowKM,9,QUOTE
75,126,2022-03-28,2,Otherwise,6,QUOTE
76,74,2022-03-28,1,LowKM,2,QUOTE
77,11,2022-03-28,6,LowKM,4,QUOTE
78,6,2022-03-28,7,Otherwise,10,QUOTE
79,1,2022-03-28,4,Otherwise,2,SOLD
80,2,2022-03-28,7,LowKM,4,QUOTE
