,DATE,AnnualKM_Banding,RANKING,PREDICTED,QUOTE_COUNT
0,2022-03-29,Otherwise,2. Rank Bottom,1.Loaded,811
1,2022-03-17,Otherwise,1. Rank Top,1.Loaded,323
2,2022-03-15,LowKM,2. Rank Bottom,1.Loaded,972
3,2022-03-16,LowKM,1. Rank Top,2.Discounted,157
4,2022-03-31,LowKM,1. Rank Top,2.Discounted,135
5,2022-03-07,Otherwise,1. Rank Top,2.Discounted,58
6,2022-03-23,Otherwise,2. Rank Bottom,1.Loaded,587
7,2022-04-04,Otherwise,2. Rank Bottom,2.Discounted,405
8,2022-03-12,LowKM,1. Rank Top,1.Loaded,445
9,2022-03-25,LowKM,1. Rank Top,1.Loaded,595
10,2022-03-13,LowKM,1. Rank Top,2.Discounted,127
11,2022-03-29,LowKM,2. Rank Bottom,2.Discounted,669
12,2022-03-15,Otherwise,1. Rank Top,1.Loaded,324
13,2022-03-18,LowKM,2. Rank Bottom,2.Discounted,499
14,2022-03-07,Otherwise,2. Rank Bottom,1.Loaded,631
15,2022-03-21,LowKM,1. Rank Top,2.Discounted,162
16,2022-03-11,Otherwise,1. Rank Top,2.Discounted,79
17,2022-03-11,LowKM,2. Rank Bottom,1.Loaded,787
18,2022-03-11,Otherwise,1. Rank Top,1.Loaded,525
19,2022-03-25,Otherwise,1. Rank Top,2.Discounted,33
20,2022-03-26,Otherwise,1. Rank Top,1.Loaded,473
21,2022-03-13,LowKM,1. Rank Top,1.Loaded,535
22,2022-03-18,LowKM,1. Rank Top,2.Discounted,133
23,2022-03-31,Otherwise,1. Rank Top,1.Loaded,781
24,2022-03-20,LowKM,2. Rank Bottom,2.Discounted,418
25,2022-03-07,LowKM,1. Rank Top,2.Discounted,140
26,2022-03-23,LowKM,1. Rank Top,1.Loaded,727
27,2022-03-24,LowKM,2. Rank Bottom,1.Loaded,849
28,2022-03-14,Otherwise,2. Rank Bottom,1.Loaded,509
29,2022-03-18,Otherwise,1. Rank Top,2.Discounted,92
30,2022-03-30,Otherwise,1. Rank Top,1.Loaded,874
31,2022-03-23,LowKM,2. Rank Bottom,1.Loaded,945
