,DATE,RANKING,AFNTY_BRAND,QUOTE_COUNT
0,2022-02-01,9,GOLD,11
1,2022-02-01,8,GOLD,34
2,2022-02-01,7,GOLD,59
3,2022-02-01,6,GOLD,156
4,2022-02-01,5,GOLD,275
5,2022-02-01,4,GOLD,470
6,2022-02-01,3,GOLD,903
7,2022-02-01,2,GOLD,1339
8,2022-02-01,1,GOLD,2083
9,2022-02-02,9,GOLD,4
10,2022-02-02,8,GOLD,27
11,2022-02-02,7,GOLD,79
12,2022-02-02,6,GOLD,158
13,2022-02-02,5,GOLD,279
14,2022-02-02,4,GOLD,502
15,2022-02-02,3,GOLD,897
16,2022-02-02,2,GOLD,1427
17,2022-02-02,1,GOLD,1970
18,2022-02-03,9,GOLD,7
19,2022-02-03,8,GOLD,30
20,2022-02-03,7,GOLD,59
21,2022-02-03,6,GOLD,162
22,2022-02-03,5,GOLD,291
23,2022-02-03,4,GOLD,461
24,2022-02-03,3,GOLD,847
25,2022-02-03,2,GOLD,1226
26,2022-02-03,1,GOLD,1686
27,2022-02-04,9,GOLD,10
28,2022-02-04,8,GOLD,28
29,2022-02-04,7,GOLD,43
30,2022-02-04,6,GOLD,137
31,2022-02-04,5,GOLD,239
32,2022-02-04,4,GOLD,411
33,2022-02-04,3,GOLD,711
34,2022-02-04,2,GOLD,1130
35,2022-02-04,1,GOLD,1626
36,2022-02-05,9,GOLD,5
37,2022-02-05,8,GOLD,21
38,2022-02-05,7,GOLD,46
39,2022-02-05,6,GOLD,94
40,2022-02-05,5,GOLD,206
41,2022-02-05,4,GOLD,338
42,2022-02-05,3,GOLD,611
43,2022-02-05,2,GOLD,927
44,2022-02-05,1,GOLD,1343
45,2022-02-06,9,GOLD,3
46,2022-02-06,8,GOLD,27
47,2022-02-06,7,GOLD,53
48,2022-02-06,6,GOLD,111
49,2022-02-06,5,GOLD,208
50,2022-02-06,4,GOLD,370
51,2022-02-06,3,GOLD,644
52,2022-02-06,2,GOLD,913
53,2022-02-06,1,GOLD,1514
54,2022-02-07,9,GOLD,2
55,2022-02-07,8,GOLD,34
56,2022-02-07,7,GOLD,75
57,2022-02-07,6,GOLD,169
58,2022-02-07,5,GOLD,281
59,2022-02-07,4,GOLD,505
60,2022-02-07,3,GOLD,851
61,2022-02-07,2,GOLD,1319
62,2022-02-07,1,GOLD,2051
63,2022-02-08,9,GOLD,8
64,2022-02-08,8,GOLD,19
65,2022-02-08,7,GOLD,79
66,2022-02-08,6,GOLD,141
67,2022-02-08,5,GOLD,249
68,2022-02-08,4,GOLD,484
69,2022-02-08,3,GOLD,901
70,2022-02-08,2,GOLD,1504
71,2022-02-08,1,GOLD,2059
