,DATE,AFNTY_BRAND,CHANNEL,SALES_COUNT,VEHICLE_PREMIUM
0,2022-03-01,GOLD,CTM,217,202439.20999999988
1,2022-03-01,GOLD,Others,215,196100.92999999993
2,2022-03-02,GOLD,Others,188,168027.31000000003
3,2022-03-02,GOLD,CTM,208,185285.75999999995
4,2022-03-03,GOLD,Others,256,218398.88999999987
5,2022-03-03,GOLD,CTM,253,211473.61000000002
6,2022-03-04,GOLD,CTM,157,138399.0
7,2022-03-04,GOLD,Others,176,157522.88999999998
8,2022-03-05,GOLD,CTM,135,120882.67000000003
9,2022-03-05,GOLD,Others,129,116831.64000000001
10,2022-03-07,GOLD,CTM,212,184693.21
11,2022-03-07,GOLD,Others,166,149790.59000000003
12,2022-03-07,OCEA,CTM,9,7895.3
13,2022-03-08,GOLD,Others,208,177183.14999999997
14,2022-03-08,GOLD,CTM,243,233907.12999999995
15,2022-03-09,GOLD,CTM,227,191560.00999999995
16,2022-03-09,GOLD,Others,211,181055.9800000001
17,2022-03-10,GOLD,CTM,207,180717.49000000005
18,2022-03-10,GOLD,Others,202,177936.64999999997
19,2022-03-11,GOLD,CTM,166,139679.40000000002
20,2022-03-11,GOLD,Others,181,159030.7499999999
21,2022-03-12,GOLD,Others,130,109338.45000000001
22,2022-03-12,GOLD,CTM,93,87211.51000000001
23,2022-03-14,GOLD,CTM,185,173770.47999999995
24,2022-03-14,GOLD,Others,163,139689.05000000002
25,2022-03-15,GOLD,Others,212,181900.09999999995
26,2022-03-15,GOLD,CTM,220,196073.65
27,2022-03-16,GOLD,Others,196,177088.86
28,2022-03-16,GOLD,CTM,180,165174.90999999997
29,2022-03-17,GOLD,CTM,193,168841.02
30,2022-03-17,GOLD,Others,226,206809.18999999994
31,2022-03-18,GOLD,Others,183,158949.07000000004
32,2022-03-18,GOLD,CTM,170,150577.84000000005
33,2022-03-19,GOLD,CTM,99,85140.01000000004
34,2022-03-21,GOLD,Others,171,151449.62999999998
35,2022-03-21,GOLD,CTM,176,142154.69000000003
36,2022-03-22,GOLD,Others,199,180631.88000000003
37,2022-03-22,GOLD,CTM,189,168906.57
38,2022-03-23,GOLD,CTM,215,194191.66000000006
39,2022-03-23,GOLD,Others,183,153354.13999999993
40,2022-03-24,GOLD,Others,188,169103.2099999999
41,2022-03-24,GOLD,CTM,191,168306.26999999996
42,2022-03-25,GOLD,CTM,178,149644.15000000002
43,2022-03-25,GOLD,Others,188,152717.56999999992
44,2022-03-26,GOLD,CTM,125,108150.53000000001
45,2022-03-26,GOLD,Others,121,112926.68999999999
46,2022-03-28,GOLD,CTM,197,178812.5000000001
47,2022-03-28,GOLD,Others,184,154652.75999999998
48,2022-03-29,GOLD,CTM,212,186061.92000000004
49,2022-03-29,GOLD,Others,207,190138.92999999982
50,2022-03-30,GOLD,CTM,225,207032.10999999987
51,2022-03-30,GOLD,Others,220,193685.90999999995
52,2022-03-31,GOLD,CTM,201,179158.8500000001
53,2022-03-31,GOLD,Others,194,162919.01000000004
54,2022-04-01,GOLD,CTM,188,165651.09000000014
55,2022-04-01,GOLD,Others,146,124926.69
56,2022-04-02,GOLD,Others,130,115080.49999999994
57,2022-04-02,GOLD,CTM,113,94530.19000000005
58,2022-04-04,GOLD,CTM,177,145980.79999999996
59,2022-04-04,GOLD,Others,179,144079.42000000007
60,2022-03-01,OCEA,CTM,9,7123.199999999999
61,2022-03-02,OCEA,CTM,13,11699.940000000002
62,2022-03-02,OCEA,Others,1,1308.14
63,2022-03-03,OCEA,CTM,8,9351.869999999999
64,2022-03-03,OCEA,Others,2,1792.8600000000001
65,2022-03-04,OCEA,CTM,15,12738.920000000002
66,2022-03-05,OCEA,CTM,4,3026.67
67,2022-03-05,OCEA,Others,1,932.52
68,2022-03-06,GOLD,Others,111,86391.14000000004
69,2022-03-06,GOLD,CTM,108,91602.97999999997
70,2022-03-06,OCEA,CTM,10,8416.17
71,2022-03-06,OCEA,Others,1,659.85
72,2022-03-08,OCEA,CTM,14,12658.580000000002
73,2022-03-09,OCEA,CTM,10,8749.650000000001
74,2022-03-10,OCEA,CTM,10,8863.22
75,2022-03-10,OCEA,Others,2,1827.6599999999999
76,2022-03-11,OCEA,CTM,11,10166.86
77,2022-03-11,OCEA,Others,1,1770.92
78,2022-03-12,OCEA,CTM,3,2581.73
79,2022-03-13,GOLD,CTM,96,82448.23999999999
80,2022-03-13,GOLD,Others,96,83096.46
81,2022-03-13,OCEA,CTM,8,6110.239999999999
82,2022-03-13,OCEA,Others,1,1034.92
83,2022-03-14,OCEA,CTM,5,4150.7
84,2022-03-15,OCEA,CTM,6,4593.43
85,2022-03-15,OCEA,Others,1,649.24
86,2022-03-16,OCEA,CTM,7,6503.130000000001
87,2022-03-16,OCEA,Others,1,695.38
88,2022-03-17,OCEA,CTM,15,12962.38
89,2022-03-18,OCEA,CTM,13,10589.61
90,2022-03-18,OCEA,Others,2,1572.53
91,2022-03-19,GOLD,Others,128,109323.49
92,2022-03-19,OCEA,CTM,8,5997.65
93,2022-03-20,GOLD,Others,99,80034.54999999997
94,2022-03-20,GOLD,CTM,103,87438.57
95,2022-03-20,OCEA,CTM,9,10119.63
96,2022-03-21,OCEA,CTM,6,5205.61
97,2022-03-22,OCEA,CTM,7,5417.92
98,2022-03-22,OCEA,Others,1,1304.78
